player_id,player_name,position_group,race,race_source,confidence,notes
00-0019392,Brandon Jennings,DB,,,,
00-0036221,Brandon Jones,DB,,,,
00-0038657,Brandon Joseph,DB,,,,
00-0027468,Brandon King,DB,,,,
00-0025527,Brandon McDonald,DB,,,,
00-0030535,Brandon McGee,DB,,,,
00-0023354,Brandon McGowan,DB,,,,
00-0019329,Brandon McLemore,DB,,,,
00-0025411,Brandon Meriweather,DB,,,,
00-0037473,Brandon Sebastian,DB,,,,
00-0028750,Brandon Smith,DB,,,,
00-0036987,Brandon Stephens,DB,,,,
00-0033707,Brandon Stewart,DB,,,,
00-0029525,Brandon Taylor,DB,,,,
00-0026934,Brandon Underwood,DB,,,,
00-0035375,Brandon Watson,DB,,,,
00-0021878,Brandon Williams,DB,,,,
00-0032769,Brandon Williams,DB,,,,
00-0033791,Brandon Wilson,DB,,,,
00-0028151,Brandyn Thompson,DB,,,,
00-0025518,Brannon Condren,DB,,,,
00-0033552,Brendan Langley,DB,,,,
00-0037423,Brendan Radley-Hiles,DB,,,,
00-0037205,Brenden Schooler,DB,,,,
00-0000136,Brent Alexander,DB,,,,
00-0024183,Brent Grimes,DB,,,,
00-0033435,Breon Borders,DB,,,,
00-0026831,Bret Lockett,DB,,,,
00-0033467,Brian Allen,DB,,,,
00-0039141,Brian Branch,DB,,,,
00-0036353,Brian Cole,DB,,,,
00-0004073,Brian Dawkins,DB,,,,
00-0030802,Brian Dixon,DB,,,,
00-0027313,Brian Jackson,DB,,,,
00-0009106,Brian Kelly,DB,,,,
00-0020365,Brian Leigeb,DB,,,,
00-0032596,Brian Poole,DB,,,,
00-0032683,Brian Randolph,DB,,,,
00-0020199,Brian Russell,DB,,,,
00-0017013,Brian Walker,DB,,,,
00-0021229,Brian Williams,DB,,,,
00-0026444,Brian Witherspoon,DB,,,,
00-0026935,Brice McCain,DB,,,,
00-0032517,Briean Boddy-Calhoun,DB,,,,
00-0010381,Brock Marion,DB,,,,
00-0031063,Brock Vereen,DB,,,,
00-0020537,Brock Williams,DB,,,,
00-0023469,Brodney Pool,DB,,,,
00-0036601,Brontae Harris,DB,,,,
00-0020612,Bruce Branch,DB,,,,
00-0026824,Bruce Johnson,DB,,,,
00-0022868,Bruce Thornton,DB,,,,
00-0037193,Bryan Cook,DB,,,,
00-0027421,Bryan McCann,DB,,,,
00-0036801,Bryan Mills,DB,,,,
00-0021951,Bryan Scott,DB,,,,
00-0023497,Bryant McFadden,DB,,,,
00-0017467,Bryant Westbrook,DB,,,,
00-0031904,Bryce Callahan,DB,,,,
00-0034884,Bryce Canady,DB,,,,
00-0033116,Bryce Cheek,DB,,,,
00-0037505,Bryce Cosby,DB,,,,
00-0036241,Bryce Hall,DB,,,,
00-0033853,Bryce Jones,DB,,,,
00-0036792,Bryce Thompson,DB,,,,
00-0030020,Brynden Trawick,DB,,,,
00-0032836,Bryson Keeton,DB,,,,
00-0037142,Bubba Bolden,DB,,,,
00-0033890,Budda Baker,DB,,,,
00-0028075,Buster Skrine,DB,,,,
00-0032239,Byron Jones,DB,,,,
00-0028111,Byron Maxwell,DB,,,,
00-0035236,Byron Murphy,DB,,,,
00-0025739,Byron Westbrook,DB,,,,
00-0023621,C.C. Brown,DB,,,,
00-0038803,C.J. Coldon,DB,,,,
00-0031357,C.J. Goodwin,DB,,,,
00-0036281,C.J. Henderson,DB,,,,
00-0035327,C.J. Moore,DB,,,,
00-0034526,C.J. Reavis,DB,,,,
00-0032856,C.J. Smith,DB,,,,
00-0026758,C.J. Spillman,DB,,,,
00-0024598,C.J. Wallace,DB,,,,
00-0025613,C.J. Wilson,DB,,,,
00-0030141,C.J. Wilson,DB,,,,
00-0036633,Caden Sterns,DB,,,,
00-0039387,Caelen Carson,DB,,,,
00-0037058,Caesar Williams,DB,,,,
00-0038712,Caleb Biggers,DB,,,,
00-0036615,Caleb Farley,DB,,,,
00-0039838,Calen Bullock,DB,,,,
00-0001676,Calvin Branch,DB,,,,
00-0021485,Calvin Carlyle,DB,,,,
00-0024317,Calvin Lowry,DB,,,,
00-0031343,Calvin Pryor,DB,,,,
00-0039369,Cam Hart,DB,,,,
00-0039780,Cam Lampkin,DB,,,,
00-0035357,Cam Lewis,DB,,,,
00-0023382,Cam Newton,DB,,,,
00-0039133,Cam Smith,DB,,,,
00-0037753,Cam Taylor-Britt,DB,,,,
