player_id,season,player_name,team,position,position_group,race,race_source,confidence,notes
00-0011570,2000,Jason Moore,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0012813,2000,Jason Perry,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0014637,2000,Jason Sehorn,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0014902,2000,Jason Simmons,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0015920,2000,Jason Suttle,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019653,2000,Jason Webster,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0001058,2000,Jay Bellamy,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0002928,2000,Je'Rod Cherry,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0002328,2000,Jeff Burris,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0019685,2000,Jeff Harris,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0019321,2000,Jerard White,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0009933,2000,Jeremy Lincoln,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0018212,2000,Jerome Woods,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0000559,2000,Jerry Azumah,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0018036,2000,Jerry Wilson,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0002610,2000,Jim Cantelupe,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0007512,2000,Jimmy Hitchcock,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0015460,2000,Jimmy Spencer,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019228,2000,Jimmy Wyrick,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0019612,2000,John Keith,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0010188,2000,John Lynch,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0002775,2000,Johndale Carty,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0006960,2000,Johnnie Harris,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0019299,2000,Jordan Younger,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0019018,2000,Josh Symonette,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0018563,2000,Justin Lucas,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0019631,2000,Kareem Larrimore,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0014674,2000,Kato Serwanga,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0002666,2000,Keion Carpenter,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0010174,2000,Keith Lyle,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0016207,2000,Keith Thibodeaux,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0008041,2000,Ken Irvin,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0018308,2000,Kenny Wright,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0019458,2000,Kenoy Kennedy,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0008941,2000,Kerry Joseph,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0000025,2000,Kevin Abrams,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0010535,2000,Kevin Mathis,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0017861,2000,Kevin Williams,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0017861,2000,Kevin Williams,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0007334,2000,Kim Herring,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019485,2000,Kiwaukee Thomas,JAX,DB,DB,Other/Unknown,Not classified,Low,
